Customer_ID,Gender,Category,Previous_Purchases,Review_Rating,Size,Season,Location,Subscription_Status,Frequency_of_Purchases,Payment_Method,Shipping_Type,Color,Discount_Applied,Preferred_Payment_Method,Promo_Code_Used,Item_Purchased,Cluster,Silhouette,Age,Purchase_Amount_USD
16,Male,Clothing,8,2.8,M,Winter,Rhode Island,Yes,Monthly,Credit Card,Store Pickup,Teal,Yes,PayPal,Yes,Skirt,C1,0.662786,64,81
17,Male,Accessories,44,4.1,S,Spring,Alabama,Yes,Bi-Weekly,Venmo,Next Day Air,Gray,Yes,Debit Card,Yes,Sunglasses,C2,0.601784,25,36
18,Male,Clothing,36,4.7,XL,Winter,Mississippi,Yes,Quarterly,Debit Card,2-Day Shipping,Lavender,Yes,Venmo,Yes,Dress,C3,0.674789,53,38
19,Male,Clothing,17,4.6,S,Summer,Montana,Yes,Weekly,Bank Transfer,Free Shipping,Black,Yes,Cash,Yes,Sweater,C3,0.634715,52,48
20,Male,Clothing,46,3.3,M,Summer,Rhode Island,Yes,Bi-Weekly,Venmo,Standard,Green,Yes,Debit Card,Yes,Pants,C1,0.665995,66,90
21,Male,Clothing,50,2.8,M,Winter,Louisiana,Yes,Every 3 Months,Credit Card,Express,Black,Yes,Cash,Yes,Pants,C2,0.652827,21,51
22,Male,Clothing,22,4.1,M,Winter,North Carolina,Yes,Quarterly,Credit Card,Store Pickup,Charcoal,Yes,Debit Card,Yes,Pants,C2,0.647811,31,62
23,Male,Clothing,32,3.2,M,Summer,California,Yes,Annually,Cash,Store Pickup,Peach,Yes,Debit Card,Yes,Pants,C3,0.675407,56,37
24,Male,Clothing,40,4.4,XL,Winter,Oklahoma,Yes,Weekly,Credit Card,Express,White,Yes,Credit Card,Yes,Pants,C2,0.559988,31,88
25,Male,Outerwear,16,2.9,M,Fall,Florida,Yes,Weekly,Cash,Store Pickup,Green,Yes,Debit Card,Yes,Jacket,C2,0.574163,18,22
26,Male,Clothing,14,3.6,M,Summer,Texas,Yes,Annually,Bank Transfer,Express,Silver,Yes,PayPal,Yes,Hoodie,C2,0.583997,18,25
27,Male,Accessories,13,3.6,M,Spring,Nevada,Yes,Annually,Cash,Next Day Air,Red,Yes,Credit Card,Yes,Jewelry,C3,0.594738,38,20
28,Male,Clothing,7,5.0,L,Summer,Kentucky,Yes,Every 3 Months,Debit Card,Next Day Air,Cyan,Yes,Bank Transfer,Yes,Shorts,C3,0.550555,56,56
29,Male,Accessories,41,4.4,M,Fall,North Carolina,Yes,Every 3 Months,Debit Card,Free Shipping,Gray,Yes,PayPal,Yes,Handbag,C1,0.677587,54,94
30,Male,Clothing,14,4.1,S,Fall,Wyoming,Yes,Weekly,Venmo,Store Pickup,Black,Yes,Credit Card,Yes,Dress,C2,0.613846,31,48
31,Male,Accessories,16,4.7,L,Winter,North Carolina,Yes,Monthly,Bank Transfer,Standard,Black,Yes,Credit Card,Yes,Jewelry,C3,0.680146,57,31
32,Male,Clothing,45,4.7,L,Winter,West Virginia,Yes,Monthly,Venmo,Store Pickup,Brown,Yes,Venmo,Yes,Dress,C2,0.578724,33,79
33,Male,Outerwear,37,4.9,M,Summer,Kansas,Yes,Annually,Bank Transfer,Free Shipping,Silver,Yes,Venmo,Yes,Jacket,C2,0.593665,36,67
34,Male,Clothing,45,3.3,L,Summer,Colorado,Yes,Quarterly,Venmo,Store Pickup,Green,Yes,Cash,Yes,Pants,C3,0.674693,54,38
35,Male,Clothing,38,4.6,L,Spring,North Dakota,Yes,Quarterly,Debit Card,2-Day Shipping,Violet,Yes,PayPal,Yes,T-shirt,C1,0.52999,36,91
36,Male,Clothing,48,4.0,M,Summer,Massachusetts,Yes,Bi-Weekly,Bank Transfer,2-Day Shipping,Cyan,Yes,Credit Card,Yes,Blouse,C3,0.681218,54,33
37,Male,Clothing,44,4.6,M,Winter,Illinois,Yes,Fortnightly,Cash,Free Shipping,Maroon,Yes,PayPal,Yes,T-shirt,C2,0.598051,35,69
38,Male,Clothing,10,2.8,S,Summer,Indiana,Yes,Weekly,Debit Card,Store Pickup,Cyan,Yes,PayPal,Yes,Jeans,C2,0.552784,35,45
39,Male,Clothing,44,3.7,M,Winter,Florida,Yes,Every 3 Months,Debit Card,2-Day Shipping,Red,Yes,Venmo,Yes,Dress,C2,0.580171,29,37
40,Male,Clothing,18,4.2,S,Summer,Arizona,Yes,Monthly,Bank Transfer,Express,Turquoise,Yes,Credit Card,Yes,Pants,C1,0.517252,70,60
41,Male,Accessories,31,4.6,L,Winter,Louisiana,Yes,Quarterly,PayPal,Next Day Air,Beige,Yes,Debit Card,Yes,Handbag,C1,0.630241,69,76
42,Male,Accessories,40,4.5,M,Spring,Alaska,Yes,Annually,Cash,Standard,Orange,Yes,Venmo,Yes,Scarf,C3,0.64138,67,39
43,Male,Outerwear,15,4.1,M,Spring,Tennessee,Yes,Annually,Bank Transfer,Free Shipping,Beige,Yes,PayPal,Yes,Coat,C2,0.580139,20,100
44,Male,Accessories,19,3.7,L,Fall,Ohio,Yes,Fortnightly,PayPal,Store Pickup,Lavender,Yes,PayPal,Yes,Scarf,C2,0.656232,25,69
45,Male,Accessories,45,4.6,S,Summer,Kentucky,Yes,Weekly,Bank Transfer,Free Shipping,Silver,Yes,PayPal,Yes,Hat,C2,0.538915,39,53
46,Male,Clothing,25,2.9,XL,Fall,Tennessee,Yes,Annually,Venmo,2-Day Shipping,Indigo,Yes,PayPal,Yes,Socks,C3,0.664751,50,21
47,Male,Clothing,45,2.9,L,Summer,California,Yes,Quarterly,Venmo,Store Pickup,White,Yes,Cash,Yes,Shirt,C3,0.658006,57,43
48,Male,Accessories,36,4.5,M,Winter,Montana,Yes,Weekly,Debit Card,Free Shipping,Charcoal,Yes,Cash,Yes,Jewelry,C3,0.578492,55,54
49,Male,Clothing,38,2.7,M,Summer,Nevada,Yes,Monthly,Debit Card,Store Pickup,Orange,Yes,Cash,Yes,Shirt,C2,0.495027,42,55
50,Male,Clothing,34,4.6,S,Spring,New Jersey,Yes,Bi-Weekly,Bank Transfer,Next Day Air,Indigo,Yes,Debit Card,Yes,Hoodie,C3,0.652097,68,30
51,Male,Clothing,39,3.7,M,Spring,Maryland,Yes,Bi-Weekly,Cash,Store Pickup,Red,Yes,Debit Card,Yes,Blouse,C3,0.669305,49,28
52,Male,Clothing,7,4.7,XL,Winter,Vermont,Yes,Quarterly,PayPal,2-Day Shipping,Gray,Yes,Credit Card,Yes,Skirt,C3,0.498213,59,59
53,Male,Clothing,26,2.6,M,Summer,Alaska,Yes,Weekly,Credit Card,Free Shipping,Green,Yes,Credit Card,Yes,T-shirt,C3,0.626084,42,20
54,Male,Clothing,35,3.9,S,Winter,Mississippi,Yes,Weekly,Debit Card,Next Day Air,Peach,Yes,Credit Card,Yes,Skirt,C2,0.51643,29,24
55,Male,Outerwear,35,4.2,M,Summer,New Mexico,Yes,Bi-Weekly,Bank Transfer,Next Day Air,Brown,Yes,Debit Card,Yes,Coat,C1,0.651678,47,94
56,Male,Outerwear,49,3.0,M,Winter,South Carolina,Yes,Annually,Venmo,2-Day Shipping,Lavender,Yes,Credit Card,Yes,Jacket,C3,0.609636,40,28
57,Male,Accessories,46,4.7,XL,Summer,Mississippi,Yes,Weekly,PayPal,Store Pickup,Brown,Yes,Credit Card,Yes,Backpack,C1,0.534947,41,73
58,Male,Outerwear,17,4.4,M,Summer,West Virginia,Yes,Fortnightly,PayPal,Store Pickup,White,Yes,Debit Card,Yes,Coat,C2,0.664416,21,64
59,Male,Clothing,29,4.2,M,Summer,Missouri,Yes,Monthly,Credit Card,Free Shipping,Charcoal,Yes,Venmo,Yes,Hoodie,C3,0.547102,69,54
60,Male,Accessories,4,4.6,L,Spring,Louisiana,Yes,Weekly,Debit Card,Standard,Yellow,Yes,Debit Card,Yes,Belt,C1,0.661138,63,79
61,Male,Clothing,17,4.0,L,Summer,Idaho,Yes,Weekly,Credit Card,Express,Brown,Yes,Cash,Yes,Sweater,C3,0.671652,50,37
62,Male,Accessories,21,4.7,M,Winter,Texas,Yes,Every 3 Months,Bank Transfer,Store Pickup,Orange,Yes,Credit Card,Yes,Scarf,C1,0.617657,55,68
63,Male,Footwear,31,3.8,S,Spring,Mississippi,Yes,Fortnightly,Credit Card,Free Shipping,Magenta,Yes,Credit Card,Yes,Sneakers,C3,0.507137,30,21
64,Male,Accessories,43,2.7,L,Winter,Arizona,Yes,Weekly,Credit Card,2-Day Shipping,Lavender,Yes,Credit Card,Yes,Sunglasses,C2,0.578724,33,79
65,Male,Footwear,18,4.8,S,Fall,Alabama,Yes,Fortnightly,PayPal,Standard,Green,Yes,Debit Card,Yes,Boots,C1,0.663175,65,83
66,Male,Accessories,44,4.8,M,Spring,New Jersey,Yes,Every 3 Months,Credit Card,2-Day Shipping,Purple,Yes,Venmo,Yes,Backpack,C3,0.656127,65,36
67,Male,Clothing,3,4.7,S,Winter,Pennsylvania,Yes,Every 3 Months,Bank Transfer,2-Day Shipping,Magenta,Yes,Venmo,Yes,Blouse,C2,0.533025,31,94
68,Male,Outerwear,49,4.4,L,Winter,Connecticut,Yes,Monthly,PayPal,Store Pickup,Gray,Yes,Debit Card,Yes,Coat,C3,0.64821,45,33
69,Male,Accessories,21,3.9,L,Summer,Utah,Yes,Every 3 Months,Credit Card,Next Day Air,Silver,Yes,Cash,Yes,Handbag,C3,0.644102,57,46
70,Male,Accessories,5,4.4,S,Summer,Tennessee,Yes,Weekly,Credit Card,Express,Cyan,Yes,Cash,Yes,Belt,C1,0.622585,48,70
71,Male,Accessories,32,4.2,M,Fall,Alabama,Yes,Every 3 Months,Credit Card,Express,Magenta,Yes,Debit Card,Yes,Belt,C2,0.587069,22,29
72,Male,Clothing,34,2.9,L,Summer,Virginia,Yes,Annually,Debit Card,Express,Gold,Yes,Bank Transfer,Yes,Dress,C2,0.556392,36,48
73,Male,Clothing,21,2.9,M,Winter,Georgia,Yes,Every 3 Months,Debit Card,Store Pickup,Olive,Yes,Bank Transfer,Yes,Dress,C2,0.58724,18,26
74,Male,Clothing,43,2.7,M,Spring,Hawaii,Yes,Bi-Weekly,Debit Card,Free Shipping,Teal,Yes,Bank Transfer,Yes,Pants,C1,0.65906,48,85
75,Male,Accessories,3,4.5,L,Spring,Indiana,Yes,Monthly,PayPal,Express,Violet,Yes,Cash,Yes,Gloves,C3,0.524153,49,58
76,Male,Accessories,21,2.7,M,Summer,Utah,Yes,Annually,Debit Card,Free Shipping,Blue,Yes,Credit Card,Yes,Scarf,C1,0.668814,64,85
77,Male,Accessories,32,4.2,S,Summer,Delaware,Yes,Monthly,Bank Transfer,Free Shipping,Teal,Yes,Venmo,Yes,Hat,C3,0.658857,50,43
78,Male,Clothing,36,3.3,L,Summer,Delaware,Yes,Fortnightly,Debit Card,Next Day Air,Gold,Yes,Debit Card,Yes,Dress,C2,0.656272,22,53
79,Male,Clothing,50,4.7,M,Spring,Nebraska,Yes,Fortnightly,Venmo,Free Shipping,Maroon,Yes,Venmo,Yes,Skirt,C1,0.668865,50,91
80,Male,Outerwear,43,2.6,M,Winter,Iowa,Yes,Every 3 Months,Bank Transfer,2-Day Shipping,Olive,Yes,Bank Transfer,Yes,Jacket,C1,0.570315,38,96
81,Male,Footwear,24,3.3,XL,Summer,New York,Yes,Every 3 Months,Credit Card,Store Pickup,Blue,Yes,Credit Card,Yes,Sandals,C2,0.653594,19,72
82,Male,Footwear,36,2.6,L,Summer,Virginia,Yes,Every 3 Months,PayPal,Express,Maroon,Yes,Credit Card,Yes,Shoes,C1,0.66252,67,96
83,Male,Clothing,21,4.0,S,Spring,Georgia,Yes,Every 3 Months,Bank Transfer,2-Day Shipping,Olive,Yes,Credit Card,Yes,Pants,C2,0.591838,19,28
84,Male,Clothing,34,4.1,M,Summer,Texas,Yes,Weekly,Debit Card,Standard,Turquoise,Yes,Bank Transfer,Yes,Dress,C2,0.499076,36,40
85,Male,Outerwear,42,4.4,S,Spring,Arizona,Yes,Every 3 Months,Cash,Standard,Peach,Yes,Bank Transfer,Yes,Coat,C3,0.679842,52,32
86,Male,Accessories,2,4.5,M,Winter,New Mexico,Yes,Bi-Weekly,Credit Card,Next Day Air,Charcoal,Yes,Debit Card,Yes,Sunglasses,C1,0.674185,53,95
87,Male,Clothing,47,3.7,L,Spring,Nevada,Yes,Bi-Weekly,Venmo,2-Day Shipping,Pink,Yes,Cash,Yes,Hoodie,C2,0.623631,24,41
88,Male,Footwear,44,3.7,M,Fall,Ohio,Yes,Fortnightly,Debit Card,2-Day Shipping,Green,Yes,Debit Card,Yes,Shoes,C3,0.591506,52,53
89,Male,Clothing,35,3.5,M,Fall,Wyoming,Yes,Monthly,Credit Card,Free Shipping,Orange,Yes,Credit Card,Yes,T-shirt,C2,0.590782,33,47
90,Male,Outerwear,15,3.6,XL,Fall,California,Yes,Quarterly,Bank Transfer,Next Day Air,Pink,Yes,Cash,Yes,Jacket,C1,0.650426,47,83
91,Male,Accessories,29,2.9,L,Summer,South Carolina,Yes,Monthly,Venmo,Express,Violet,Yes,Credit Card,Yes,Hat,C2,0.641929,25,48
92,Male,Accessories,18,4.6,S,Winter,South Carolina,Yes,Every 3 Months,PayPal,Standard,Green,Yes,Credit Card,Yes,Scarf,C1,0.627311,44,99
93,Male,Outerwear,13,4.4,M,Winter,Texas,Yes,Every 3 Months,Cash,2-Day Shipping,Olive,Yes,Venmo,Yes,Jacket,C1,0.677542,61,87
94,Male,Clothing,46,4.5,M,Fall,Florida,Yes,Weekly,PayPal,Standard,Purple,Yes,Credit Card,Yes,Sweater,C2,0.599001,37,62
95,Male,Clothing,28,4.6,S,Spring,Nevada,Yes,Weekly,Bank Transfer,Free Shipping,Silver,Yes,Credit Card,Yes,Skirt,C1,0.662204,58,76
96,Male,Footwear,48,3.8,L,Fall,Missouri,Yes,Monthly,PayPal,Free Shipping,Pink,Yes,PayPal,Yes,Sneakers,C1,0.562647,37,100
97,Male,Accessories,43,3.6,S,Spring,Delaware,Yes,Every 3 Months,Venmo,Express,Gold,Yes,Venmo,Yes,Gloves,C2,0.614212,32,73
98,Male,Footwear,37,4.8,M,Winter,Virginia,Yes,Annually,PayPal,Store Pickup,Teal,Yes,Cash,Yes,Shoes,C2,0.603616,21,92
99,Male,Clothing,20,2.6,XL,Spring,New York,Yes,Annually,Cash,Next Day Air,Teal,Yes,Bank Transfer,Yes,Jeans,C2,0.660927,20,67
100,Male,Clothing,33,3.7,XL,Summer,Missouri,Yes,Quarterly,Cash,Express,Indigo,Yes,Debit Card,Yes,Hoodie,C2,0.612783,26,40
101,Male,Accessories,31,2.7,M,Fall,South Dakota,Yes,Fortnightly,PayPal,Express,Maroon,Yes,Cash,Yes,Sunglasses,C1,0.672696,62,98
102,Male,Outerwear,50,4.6,XL,Spring,North Dakota,Yes,Bi-Weekly,Venmo,Express,White,Yes,Credit Card,Yes,Coat,C2,0.605579,27,85
103,Male,Clothing,35,4.8,L,Winter,Oklahoma,Yes,Quarterly,Credit Card,Next Day Air,Violet,Yes,Credit Card,Yes,Socks,C1,0.604432,51,67
104,Male,Footwear,22,4.0,L,Winter,West Virginia,Yes,Bi-Weekly,Debit Card,Next Day Air,Red,Yes,Venmo,Yes,Boots,C1,0.682067,54,89
105,Male,Accessories,1,4.4,L,Spring,New Hampshire,Yes,Monthly,Bank Transfer,2-Day Shipping,Pink,Yes,PayPal,Yes,Sunglasses,C3,0.678846,55,24
106,Male,Accessories,4,3.6,M,Fall,New York,Yes,Annually,Bank Transfer,Next Day Air,Charcoal,Yes,Bank Transfer,Yes,Backpack,C1,0.656514,69,96
107,Male,Outerwear,31,3.7,L,Summer,Minnesota,Yes,Monthly,Cash,Standard,White,Yes,Credit Card,Yes,Jacket,C3,0.661236,64,35
108,Male,Footwear,46,3.1,L,Winter,Maryland,Yes,Fortnightly,Cash,Next Day Air,Olive,Yes,PayPal,Yes,Sneakers,C2,0.652388,28,67
109,Male,Clothing,32,3.4,L,Spring,Montana,Yes,Bi-Weekly,Bank Transfer,Next Day Air,Purple,Yes,Bank Transfer,Yes,Socks,C1,0.635362,70,79
110,Male,Clothing,43,2.6,M,Spring,Alabama,Yes,Fortnightly,Cash,Next Day Air,Violet,Yes,Bank Transfer,Yes,T-shirt,C1,0.680852,58,85
111,Male,Accessories,26,4.0,M,Summer,New York,Yes,Fortnightly,Bank Transfer,Standard,Black,Yes,Venmo,Yes,Backpack,C3,0.680493,56,26
112,Male,Accessories,9,5.0,L,Summer,Massachusetts,Yes,Annually,PayPal,Free Shipping,Purple,Yes,Credit Card,Yes,Belt,C2,0.641522,26,75
113,Male,Accessories,28,4.3,M,Spring,Florida,Yes,Bi-Weekly,Credit Card,Free Shipping,Red,Yes,PayPal,Yes,Gloves,C2,0.588519,37,65
114,Male,Accessories,20,3.1,L,Winter,New Jersey,Yes,Quarterly,Debit Card,Next Day Air,Maroon,Yes,PayPal,Yes,Hat,C3,0.550272,44,54
115,Male,Outerwear,9,3.7,S,Summer,Massachusetts,Yes,Weekly,Venmo,Store Pickup,Blue,Yes,Cash,Yes,Coat,C1,0.653385,70,95
116,Male,Clothing,48,3.8,M,Spring,Wyoming,Yes,Every 3 Months,Cash,Standard,Gray,Yes,Debit Card,Yes,Skirt,C1,0.675476,53,94
117,Male,Footwear,12,3.4,S,Spring,Virginia,Yes,Annually,PayPal,Free Shipping,Blue,Yes,Venmo,Yes,Shoes,C1,0.683532,55,86
118,Male,Footwear,29,4.6,L,Summer,South Dakota,Yes,Fortnightly,Bank Transfer,Express,Yellow,Yes,Cash,Yes,Sandals,C3,0.674062,50,32
119,Male,Clothing,27,4.8,L,Fall,Kentucky,Yes,Bi-Weekly,Bank Transfer,2-Day Shipping,Orange,Yes,Cash,Yes,Sweater,C3,0.650265,50,45
120,Male,Outerwear,44,4.3,M,Fall,Wyoming,Yes,Annually,Debit Card,Express,Orange,Yes,Cash,Yes,Coat,C2,0.510744,38,76
121,Male,Accessories,32,4.0,L,Summer,West Virginia,Yes,Annually,PayPal,Express,Red,Yes,Bank Transfer,Yes,Hat,C1,0.667663,64,84
122,Male,Clothing,11,4.2,M,Winter,Virginia,Yes,Fortnightly,Cash,Standard,Olive,Yes,Cash,Yes,Shorts,C2,0.653594,19,72
123,Male,Accessories,44,4.8,L,Spring,Washington,Yes,Fortnightly,Credit Card,2-Day Shipping,Brown,Yes,Cash,Yes,Backpack,C3,0.574297,40,40
124,Male,Clothing,46,3.1,L,Fall,Louisiana,Yes,Weekly,Debit Card,Free Shipping,Brown,Yes,Cash,Yes,Sweater,C1,0.683606,57,89
125,Male,Clothing,50,3.1,M,Spring,Nevada,Yes,Annually,PayPal,Next Day Air,Gray,Yes,PayPal,Yes,Sweater,C1,0.627867,44,86
126,Male,Clothing,45,3.6,M,Winter,California,Yes,Every 3 Months,Cash,Next Day Air,Indigo,Yes,Venmo,Yes,Shorts,C3,0.578961,49,54
127,Male,Clothing,48,3.9,L,Spring,Mississippi,Yes,Every 3 Months,Bank Transfer,Store Pickup,Pink,Yes,Cash,Yes,Shorts,C3,0.62669,43,36
128,Male,Clothing,26,4.8,M,Winter,Mississippi,Yes,Weekly,Venmo,Next Day Air,Gray,Yes,Credit Card,Yes,Sweater,C2,0.604886,24,89
129,Male,Accessories,21,4.7,M,Spring,California,Yes,Fortnightly,Venmo,Standard,Gold,Yes,Credit Card,Yes,Scarf,C2,0.603195,20,32
130,Male,Clothing,49,4.2,XL,Summer,Pennsylvania,Yes,Bi-Weekly,Cash,2-Day Shipping,Olive,Yes,PayPal,Yes,Dress,C2,0.660458,24,67
131,Male,Accessories,13,3.7,L,Fall,Kentucky,Yes,Fortnightly,Credit Card,Next Day Air,Violet,Yes,PayPal,Yes,Scarf,C3,0.62891,44,39
132,Male,Clothing,46,3.9,L,Summer,Maine,Yes,Weekly,PayPal,Standard,Indigo,Yes,Credit Card,Yes,Skirt,C2,0.550027,28,29
133,Male,Accessories,42,4.7,M,Fall,New Mexico,Yes,Weekly,Bank Transfer,2-Day Shipping,Orange,Yes,PayPal,Yes,Backpack,C2,0.649237,30,58
134,Male,Clothing,25,2.5,M,Winter,Montana,Yes,Annually,Bank Transfer,Next Day Air,Violet,Yes,Venmo,Yes,Sweater,C1,0.58491,52,65
135,Male,Accessories,25,4.9,L,Fall,Texas,Yes,Monthly,Credit Card,Store Pickup,Gray,Yes,Cash,Yes,Hat,C1,0.622673,43,94
136,Male,Footwear,12,4.1,M,Fall,Kansas,Yes,Quarterly,PayPal,Express,Purple,Yes,PayPal,Yes,Sandals,C1,0.606111,43,81
137,Male,Clothing,4,3.3,M,Winter,South Carolina,Yes,Quarterly,Credit Card,Free Shipping,White,Yes,Debit Card,Yes,Blouse,C1,0.562414,39,86
138,Male,Footwear,38,4.7,M,Spring,Colorado,Yes,Weekly,Cash,Free Shipping,Turquoise,Yes,PayPal,Yes,Sneakers,C3,0.623413,68,43
139,Male,Clothing,42,4.4,M,Winter,Georgia,Yes,Weekly,Cash,Store Pickup,Maroon,Yes,Bank Transfer,Yes,Skirt,C3,0.652761,68,29
140,Male,Outerwear,30,3.8,M,Fall,Florida,Yes,Annually,Debit Card,Store Pickup,White,Yes,Venmo,Yes,Coat,C1,0.660858,49,95
141,Male,Clothing,50,3.9,L,Fall,North Carolina,Yes,Weekly,Bank Transfer,2-Day Shipping,Yellow,Yes,Credit Card,Yes,Shirt,C3,0.669067,63,28
142,Male,Accessories,45,4.9,M,Fall,Virginia,Yes,Weekly,PayPal,Free Shipping,Turquoise,Yes,PayPal,Yes,Gloves,C3,0.645335,56,46
143,Male,Outerwear,33,3.1,L,Fall,Nebraska,Yes,Fortnightly,PayPal,Free Shipping,Violet,Yes,Credit Card,Yes,Jacket,C2,0.595962,37,58
144,Male,Outerwear,25,2.7,M,Fall,Missouri,Yes,Quarterly,Bank Transfer,Store Pickup,Beige,Yes,PayPal,Yes,Coat,C2,0.620933,30,48
145,Male,Footwear,25,3.2,M,Fall,New Jersey,Yes,Monthly,Credit Card,Express,Silver,Yes,Cash,Yes,Shoes,C2,0.6358,19,43
146,Male,Accessories,44,4.5,M,Fall,Missouri,Yes,Quarterly,Venmo,Standard,Teal,Yes,Debit Card,Yes,Jewelry,C2,0.583422,24,95
147,Male,Clothing,21,4.0,S,Fall,Colorado,Yes,Fortnightly,Debit Card,Standard,Black,Yes,Venmo,Yes,Skirt,C3,0.679272,52,30
148,Male,Footwear,31,3.5,M,Summer,Idaho,Yes,Fortnightly,Bank Transfer,2-Day Shipping,Purple,Yes,Bank Transfer,Yes,Shoes,C1,0.570447,63,64
149,Male,Accessories,47,2.6,M,Fall,Wyoming,Yes,Annually,PayPal,Store Pickup,Gray,Yes,Debit Card,Yes,Gloves,C1,0.542987,37,90
150,Male,Clothing,14,3.2,M,Summer,Delaware,Yes,Monthly,Venmo,Free Shipping,White,Yes,PayPal,Yes,Pants,C2,0.510744,38,76
151,Male,Footwear,17,4.9,L,Fall,California,Yes,Every 3 Months,Bank Transfer,Standard,Cyan,Yes,Debit Card,Yes,Boots,C1,0.530375,35,96
152,Male,Accessories,3,4.5,L,Fall,North Dakota,Yes,Annually,Debit Card,Next Day Air,Turquoise,Yes,Venmo,Yes,Sunglasses,C2,0.628612,28,47
153,Male,Clothing,42,4.3,S,Summer,South Carolina,Yes,Annually,PayPal,Express,Brown,Yes,Venmo,Yes,Shirt,C2,0.583764,30,85
154,Male,Clothing,22,3.2,M,Winter,North Carolina,Yes,Annually,Debit Card,Standard,Maroon,Yes,Debit Card,Yes,Hoodie,C3,0.537419,69,55
155,Male,Clothing,21,3.6,M,Fall,Oklahoma,Yes,Quarterly,Debit Card,Next Day Air,Charcoal,Yes,Venmo,Yes,Dress,C1,0.603486,41,98
156,Male,Clothing,21,4.3,S,Spring,Maine,Yes,Quarterly,Cash,Free Shipping,Olive,Yes,Bank Transfer,Yes,Socks,C1,0.65534,63,77
157,Male,Clothing,40,4.0,M,Fall,Missouri,Yes,Annually,Venmo,Standard,Lavender,Yes,Debit Card,Yes,Shorts,C3,0.554378,35,26
158,Male,Accessories,1,3.0,S,Fall,Vermont,Yes,Fortnightly,Debit Card,Next Day Air,Yellow,Yes,Bank Transfer,Yes,Hat,C2,0.589601,36,68
159,Male,Clothing,50,4.1,XL,Fall,Connecticut,Yes,Monthly,Bank Transfer,Standard,Teal,Yes,Bank Transfer,Yes,Shirt,C2,0.648651,25,73
160,Male,Accessories,39,3.8,M,Fall,New Hampshire,Yes,Every 3 Months,Debit Card,Store Pickup,Charcoal,Yes,Bank Transfer,Yes,Gloves,C3,0.678824,58,27
161,Male,Accessories,34,4.6,M,Summer,Texas,Yes,Monthly,Bank Transfer,Free Shipping,Orange,Yes,Venmo,Yes,Gloves,C2,0.532098,27,23
162,Male,Accessories,29,3.0,M,Fall,North Dakota,Yes,Fortnightly,Venmo,Express,Olive,Yes,Venmo,Yes,Backpack,C3,0.602816,65,49
